Match ID,Team 1,Team 2,Team A,Team B,Map Name,Team 1 Score,Team 2 Score,Team 1 Attack Rounds,Team 1 Defense Rounds,Team 1 Overtime Rounds,Team 2 Attack Rounds,Team 2 Defense Rounds,Team 2 Overtime Rounds,Map Index,Side Picker,Side Picked,Overtime
24,LEVIATÁN,Team Vitality,LEVIATÁN,Team Vitality,Haven,16,14,7,5,4,7,5,2,1,Team Vitality,Attack,1
24,LEVIATÁN,Team Vitality,LEVIATÁN,Team Vitality,Pearl,13,3,3,10,0,2,1,0,2,LEVIATÁN,Defense,0
25,FUT Esports,100 Thieves,FUT Esports,100 Thieves,Lotus,13,9,8,5,0,7,2,0,1,100 Thieves,Attack,0
25,FUT Esports,100 Thieves,FUT Esports,100 Thieves,Haven,11,13,6,5,0,7,6,0,2,FUT Esports,Defense,0
25,FUT Esports,100 Thieves,FUT Esports,100 Thieves,Icebox,8,13,4,4,0,5,8,0,3,FUT Esports,Attack,0
26,FNATIC,FURIA,FNATIC,FURIA,Haven,18,16,8,4,6,8,4,4,1,FURIA,Defense,1
26,FNATIC,FURIA,FNATIC,FURIA,Ascent,13,9,5,8,0,4,5,0,2,FNATIC,Defense,0
27,Natus Vincere,LEVIATÁN,LEVIATÁN,Natus Vincere,Ascent,13,10,7,6,0,6,4,0,1,Natus Vincere,Defense,0
27,Natus Vincere,LEVIATÁN,LEVIATÁN,Natus Vincere,Fracture,13,2,11,2,0,1,1,0,2,LEVIATÁN,Defense,0
28,100 Thieves,FNATIC,100 Thieves,FNATIC,Fracture,1,13,0,1,0,11,2,0,1,FNATIC,Attack,0
28,100 Thieves,FNATIC,100 Thieves,FNATIC,Icebox,10,13,2,8,0,3,10,0,2,100 Thieves,Attack,0
29,LOUD,DRX,LOUD,DRX,Pearl,13,5,4,9,0,3,2,0,1,DRX,Attack,0
29,LOUD,DRX,LOUD,DRX,Icebox,13,8,9,4,0,5,3,0,2,LOUD,Attack,0
29,LOUD,DRX,LOUD,DRX,Split,7,13,3,4,0,4,9,0,3,DRX,Defense,0
29,LOUD,DRX,LOUD,DRX,Fracture,7,13,6,1,0,7,6,0,4,LOUD,Attack,0
29,LOUD,DRX,LOUD,DRX,Ascent,13,8,7,6,0,3,5,0,5,DRX,Defense,0
30,Natus Vincere,FNATIC,FNATIC,Natus Vincere,Haven,11,13,5,6,0,6,7,0,1,Natus Vincere,Attack,0
30,Natus Vincere,FNATIC,FNATIC,Natus Vincere,Lotus,4,13,2,2,0,10,3,0,2,FNATIC,Attack,0
30,Natus Vincere,FNATIC,FNATIC,Natus Vincere,Fracture,11,13,5,6,0,6,7,0,3,Natus Vincere,Defense,0
31,LOUD,FNATIC,LOUD,FNATIC,Ascent,8,13,4,4,0,5,8,0,1,FNATIC,Defense,0
31,LOUD,FNATIC,LOUD,FNATIC,Fracture,7,13,1,6,0,6,7,0,2,LOUD,Defense,0
31,LOUD,FNATIC,LOUD,FNATIC,Split,13,9,7,6,0,4,5,0,3,FNATIC,Defense,0
31,LOUD,FNATIC,LOUD,FNATIC,Lotus,13,8,7,6,0,3,5,0,4,LOUD,Attack,0
31,LOUD,FNATIC,LOUD,FNATIC,Icebox,12,14,9,3,0,9,3,2,5,FNATIC,Defense,1
32,ZETA DIVISION,DRX,DRX,ZETA DIVISION,Ascent,5,13,1,4,0,8,5,0,1,ZETA DIVISION,Defense,0
32,ZETA DIVISION,DRX,DRX,ZETA DIVISION,Pearl,5,13,4,1,0,11,2,0,2,DRX,Attack,0
33,T1,Global Esports,Global Esports,T1,Pearl,13,8,4,9,0,3,5,0,1,T1,Defense,0
33,T1,Global Esports,Global Esports,T1,Haven,4,13,2,2,0,10,3,0,2,Global Esports,Attack,0
33,T1,Global Esports,Global Esports,T1,Lotus,13,7,5,8,0,4,3,0,3,Global Esports,Attack,0
34,Paper Rex,DetonatioN FocusMe,Paper Rex,DetonatioN FocusMe,Pearl,13,5,4,9,0,3,2,0,1,DetonatioN FocusMe,Attack,0
34,Paper Rex,DetonatioN FocusMe,Paper Rex,DetonatioN FocusMe,Lotus,13,11,7,6,0,6,5,0,2,Paper Rex,Attack,0
35,Team Secret,TALON,TALON,Team Secret,Ascent,13,5,5,8,0,4,1,0,1,Team Secret,Defense,0
35,Team Secret,TALON,TALON,Team Secret,Icebox,8,13,3,5,0,4,9,0,2,TALON,Defense,0
35,Team Secret,TALON,TALON,Team Secret,Fracture,13,3,10,3,0,1,2,0,3,TALON,Defense,0
36,Rex Regum Qeon,Gen.G,Gen.G,Rex Regum Qeon,Fracture,9,13,5,4,0,8,5,0,1,Rex Regum Qeon,Defense,0
36,Rex Regum Qeon,Gen.G,Gen.G,Rex Regum Qeon,Lotus,6,13,2,4,0,8,5,0,2,Gen.G,Attack,0
37,ZETA DIVISION,Rex Regum Qeon,ZETA DIVISION,Rex Regum Qeon,Haven,10,13,3,7,0,4,9,0,1,Rex Regum Qeon,Defense,0
37,ZETA DIVISION,Rex Regum Qeon,ZETA DIVISION,Rex Regum Qeon,Ascent,13,10,6,7,0,4,6,0,2,ZETA DIVISION,Attack,0
37,ZETA DIVISION,Rex Regum Qeon,ZETA DIVISION,Rex Regum Qeon,Lotus,13,5,7,6,0,0,5,0,3,ZETA DIVISION,Attack,0
38,TALON,T1,T1,TALON,Ascent,8,13,4,4,0,8,5,0,1,TALON,Defense,0
38,TALON,T1,T1,TALON,Haven,6,13,3,3,0,9,4,0,2,T1,Attack,0
39,Team Secret,Paper Rex,Team Secret,Paper Rex,Haven,11,13,5,6,0,6,7,0,1,Paper Rex,Attack,0
39,Team Secret,Paper Rex,Team Secret,Paper Rex,Fracture,13,11,5,8,0,4,7,0,2,Team Secret,Defense,0
39,Team Secret,Paper Rex,Team Secret,Paper Rex,Split,13,10,8,5,0,7,3,0,3,Team Secret,Defense,0
40,Gen.G,DetonatioN FocusMe,DetonatioN FocusMe,Gen.G,Lotus,13,8,5,8,0,1,7,0,1,Gen.G,Attack,0
40,Gen.G,DetonatioN FocusMe,DetonatioN FocusMe,Gen.G,Fracture,4,13,0,4,0,8,5,0,2,DetonatioN FocusMe,Attack,0
40,Gen.G,DetonatioN FocusMe,DetonatioN FocusMe,Gen.G,Pearl,13,8,8,5,0,7,1,0,3,DetonatioN FocusMe,Attack,0
41,Global Esports,DRX,DRX,Global Esports,Haven,11,13,5,6,0,6,7,0,1,Global Esports,Attack,0
41,Global Esports,DRX,DRX,Global Esports,Split,15,17,6,6,3,6,6,5,2,DRX,Defense,1
42,Rex Regum Qeon,DetonatioN FocusMe,Rex Regum Qeon,DetonatioN FocusMe,Haven,13,4,3,10,0,2,2,0,1,DetonatioN FocusMe,Attack,0
42,Rex Regum Qeon,DetonatioN FocusMe,Rex Regum Qeon,DetonatioN FocusMe,Pearl,13,7,4,9,0,3,4,0,2,Rex Regum Qeon,Defense,0
43,T1,Paper Rex,T1,Paper Rex,Pearl,3,13,2,1,0,11,2,0,1,Paper Rex,Attack,0
43,T1,Paper Rex,T1,Paper Rex,Fracture,6,13,1,5,0,7,6,0,2,T1,Defense,0
44,ZETA DIVISION,Global Esports,Global Esports,ZETA DIVISION,Pearl,9,13,3,6,0,4,9,0,1,ZETA DIVISION,Attack,0
44,ZETA DIVISION,Global Esports,Global Esports,ZETA DIVISION,Ascent,14,12,5,7,2,5,7,0,2,Global Esports,Defense,1
44,ZETA DIVISION,Global Esports,Global Esports,ZETA DIVISION,Haven,13,8,5,8,0,4,4,0,3,Global Esports,Attack,0
45,TALON,DRX,TALON,DRX,Split,3,13,1,2,0,2,11,0,1,DRX,Defense,0
45,TALON,DRX,TALON,DRX,Pearl,10,13,5,5,0,6,7,0,2,TALON,Attack,0
46,Team Secret,Gen.G,Gen.G,Team Secret,Haven,8,13,3,5,0,7,6,0,1,Team Secret,Defense,0
46,Team Secret,Gen.G,Gen.G,Team Secret,Fracture,11,13,5,6,0,6,7,0,2,Gen.G,Attack,0
47,Paper Rex,DRX,DRX,Paper Rex,Ascent,5,13,2,3,0,9,4,0,1,Paper Rex,Defense,0
47,Paper Rex,DRX,DRX,Paper Rex,Split,10,13,5,5,0,6,7,0,2,DRX,Defense,0
48,Team Secret,Rex Regum Qeon,Team Secret,Rex Regum Qeon,Icebox,10,13,5,5,0,6,7,0,1,Rex Regum Qeon,Defense,0
48,Team Secret,Rex Regum Qeon,Team Secret,Rex Regum Qeon,Split,7,13,5,2,0,10,3,0,2,Team Secret,Defense,0
49,T1,Gen.G,T1,Gen.G,Ascent,5,13,3,2,0,4,9,0,1,Gen.G,Defense,0
49,T1,Gen.G,T1,Gen.G,Haven,5,13,0,5,0,7,6,0,2,T1,Defense,0
50,ZETA DIVISION,DetonatioN FocusMe,ZETA DIVISION,DetonatioN FocusMe,Ascent,13,9,10,3,0,7,2,0,1,DetonatioN FocusMe,Defense,0
50,ZETA DIVISION,DetonatioN FocusMe,ZETA DIVISION,DetonatioN FocusMe,Haven,13,5,9,4,0,2,3,0,2,ZETA DIVISION,Attack,0
51,TALON,Global Esports,Global Esports,TALON,Split,6,13,3,3,0,4,9,0,1,TALON,Attack,0
51,TALON,Global Esports,Global Esports,TALON,Icebox,11,13,6,5,0,7,6,0,2,Global Esports,Defense,0
52,Paper Rex,Global Esports,Paper Rex,Global Esports,Icebox,7,13,6,1,0,7,6,0,1,Global Esports,Defense,0
52,Paper Rex,Global Esports,Paper Rex,Global Esports,Split,13,6,9,4,0,3,3,0,2,Paper Rex,Attack,0
52,Paper Rex,Global Esports,Paper Rex,Global Esports,Pearl,13,7,8,5,0,3,4,0,3,Paper Rex,Attack,0
53,Gen.G,DRX,Gen.G,DRX,Haven,7,13,6,1,0,11,2,0,1,DRX,Attack,0
53,Gen.G,DRX,Gen.G,DRX,Fracture,13,10,6,7,0,4,6,0,2,Gen.G,Attack,0
53,Gen.G,DRX,Gen.G,DRX,Pearl,4,13,3,1,0,4,9,0,3,Gen.G,Attack,0
54,T1,Rex Regum Qeon,Rex Regum Qeon,T1,Haven,13,9,7,6,0,4,5,0,1,T1,Attack,0
54,T1,Rex Regum Qeon,Rex Regum Qeon,T1,Fracture,13,4,9,4,0,1,3,0,2,Rex Regum Qeon,Defense,0
55,Team Secret,DetonatioN FocusMe,DetonatioN FocusMe,Team Secret,Ascent,13,11,6,7,0,5,6,0,1,Team Secret,Attack,0
55,Team Secret,DetonatioN FocusMe,DetonatioN FocusMe,Team Secret,Haven,13,8,4,9,0,3,5,0,2,DetonatioN FocusMe,Attack,0
56,ZETA DIVISION,TALON,TALON,ZETA DIVISION,Haven,8,13,4,4,0,5,8,0,1,ZETA DIVISION,Attack,0
56,ZETA DIVISION,TALON,TALON,ZETA DIVISION,Ascent,14,16,6,6,2,6,6,4,2,TALON,Attack,1
57,T1,DetonatioN FocusMe,T1,DetonatioN FocusMe,Lotus,13,9,6,7,0,5,4,0,1,DetonatioN FocusMe,Attack,0
57,T1,DetonatioN FocusMe,T1,DetonatioN FocusMe,Split,9,13,4,5,0,7,6,0,2,T1,Defense,0
57,T1,DetonatioN FocusMe,T1,DetonatioN FocusMe,Fracture,13,10,6,7,0,4,6,0,3,T1,Attack,0
58,ZETA DIVISION,Team Secret,ZETA DIVISION,Team Secret,Split,13,9,8,5,0,5,4,0,1,Team Secret,Defense,0
58,ZETA DIVISION,Team Secret,ZETA DIVISION,Team Secret,Lotus,10,13,6,4,0,7,6,0,2,ZETA DIVISION,Attack,0
58,ZETA DIVISION,Team Secret,ZETA DIVISION,Team Secret,Fracture,13,9,7,6,0,4,5,0,3,ZETA DIVISION,Attack,0
59,Global Esports,Gen.G,Global Esports,Gen.G,Pearl,13,8,8,5,0,7,1,0,1,Gen.G,Attack,0
59,Global Esports,Gen.G,Global Esports,Gen.G,Lotus,13,8,7,6,0,3,5,0,2,Global Esports,Attack,0
60,Rex Regum Qeon,DRX,DRX,Rex Regum Qeon,Haven,13,8,6,7,0,2,6,0,1,Rex Regum Qeon,Attack,0
60,Rex Regum Qeon,DRX,DRX,Rex Regum Qeon,Split,10,13,6,4,0,7,6,0,2,DRX,Defense,0
60,Rex Regum Qeon,DRX,DRX,Rex Regum Qeon,Pearl,2,13,0,2,0,10,3,0,3,DRX,Attack,0
61,TALON,Paper Rex,TALON,Paper Rex,Pearl,13,11,9,4,0,8,3,0,1,Paper Rex,Attack,0
61,TALON,Paper Rex,TALON,Paper Rex,Split,4,13,3,1,0,4,9,0,2,TALON,Attack,0
61,TALON,Paper Rex,TALON,Paper Rex,Fracture,10,13,6,4,0,7,6,0,3,TALON,Attack,0
62,TALON,Gen.G,Gen.G,TALON,Fracture,13,8,7,6,0,3,5,0,1,TALON,Attack,0
62,TALON,Gen.G,Gen.G,TALON,Lotus,13,7,6,7,0,5,2,0,2,Gen.G,Attack,0
63,ZETA DIVISION,Paper Rex,Paper Rex,ZETA DIVISION,Split,6,13,1,5,0,7,6,0,1,ZETA DIVISION,Defense,0
63,ZETA DIVISION,Paper Rex,Paper Rex,ZETA DIVISION,Ascent,10,13,6,4,0,8,5,0,2,Paper Rex,Attack,0
64,Rex Regum Qeon,Global Esports,Rex Regum Qeon,Global Esports,Fracture,13,10,7,6,0,6,4,0,1,Global Esports,Attack,0
64,Rex Regum Qeon,Global Esports,Rex Regum Qeon,Global Esports,Pearl,13,11,8,5,0,7,4,0,2,Rex Regum Qeon,Attack,0
65,Team Secret,T1,Team Secret,T1,Lotus,4,13,2,2,0,3,10,0,1,T1,Defense,0
65,Team Secret,T1,Team Secret,T1,Bind,8,13,3,5,0,7,6,0,2,Team Secret,Defense,0
66,DRX,DetonatioN FocusMe,DetonatioN FocusMe,DRX,Fracture,13,8,5,8,0,1,7,0,1,DRX,Attack,0
66,DRX,DetonatioN FocusMe,DetonatioN FocusMe,DRX,Ascent,13,4,9,4,0,1,3,0,2,DetonatioN FocusMe,Defense,0
67,Paper Rex,Gen.G,Paper Rex,Gen.G,Split,13,7,9,4,0,4,3,0,1,Gen.G,Defense,0
67,Paper Rex,Gen.G,Paper Rex,Gen.G,Ascent,13,2,10,3,0,0,2,0,2,Paper Rex,Attack,0
68,ZETA DIVISION,T1,ZETA DIVISION,T1,Fracture,11,13,6,5,0,7,6,0,1,T1,Defense,0
68,ZETA DIVISION,T1,ZETA DIVISION,T1,Lotus,13,10,3,10,0,1,9,0,2,ZETA DIVISION,Attack,0
68,ZETA DIVISION,T1,ZETA DIVISION,T1,Bind,3,13,3,0,0,4,9,0,3,ZETA DIVISION,Attack,0
69,Team Secret,DRX,Team Secret,DRX,Haven,13,8,5,8,0,4,4,0,1,DRX,Attack,0
69,Team Secret,DRX,Team Secret,DRX,Ascent,13,11,10,3,0,9,2,0,2,Team Secret,Defense,0
70,Global Esports,DetonatioN FocusMe,DetonatioN FocusMe,Global Esports,Lotus,13,7,8,5,0,3,4,0,1,Global Esports,Attack,0
70,Global Esports,DetonatioN FocusMe,DetonatioN FocusMe,Global Esports,Pearl,13,6,11,2,0,5,1,0,2,DetonatioN FocusMe,Defense,0
71,TALON,Rex Regum Qeon,Rex Regum Qeon,TALON,Split,13,3,9,4,0,0,3,0,1,TALON,Attack,0
71,TALON,Rex Regum Qeon,Rex Regum Qeon,TALON,Ascent,4,13,1,3,0,9,4,0,2,Rex Regum Qeon,Attack,0
71,TALON,Rex Regum Qeon,Rex Regum Qeon,TALON,Haven,7,13,4,3,0,5,8,0,3,Rex Regum Qeon,Defense,0
72,ZETA DIVISION,Gen.G,Gen.G,ZETA DIVISION,Haven,13,8,8,5,0,4,4,0,1,ZETA DIVISION,Attack,0
72,ZETA DIVISION,Gen.G,Gen.G,ZETA DIVISION,Ascent,4,13,1,3,0,9,4,0,2,Gen.G,Attack,0
72,ZETA DIVISION,Gen.G,Gen.G,ZETA DIVISION,Fracture,13,4,5,8,0,4,0,0,3,Gen.G,Attack,0
73,T1,DRX,T1,DRX,Bind,10,13,7,3,0,9,4,0,1,DRX,Attack,0
73,T1,DRX,T1,DRX,Pearl,9,13,3,6,0,4,9,0,2,T1,Attack,0
74,Team Secret,Global Esports,Team Secret,Global Esports,Haven,13,9,7,6,0,6,3,0,1,Global Esports,Attack,0
74,Team Secret,Global Esports,Team Secret,Global Esports,Lotus,13,10,7,6,0,5,5,0,2,Team Secret,Attack,0
75,TALON,DetonatioN FocusMe,TALON,DetonatioN FocusMe,Lotus,13,11,7,6,0,6,5,0,1,DetonatioN FocusMe,Attack,0
75,TALON,DetonatioN FocusMe,TALON,DetonatioN FocusMe,Bind,13,4,10,3,0,2,2,0,2,TALON,Attack,0
76,Rex Regum Qeon,Paper Rex,Rex Regum Qeon,Paper Rex,Bind,9,13,4,5,0,7,6,0,1,Paper Rex,Attack,0
76,Rex Regum Qeon,Paper Rex,Rex Regum Qeon,Paper Rex,Pearl,11,13,4,7,0,5,8,0,2,Rex Regum Qeon,Attack,0
77,ZETA DIVISION,Team Secret,Team Secret,ZETA DIVISION,Haven,13,15,3,9,1,3,9,3,1,ZETA DIVISION,Attack,1
77,ZETA DIVISION,Team Secret,Team Secret,ZETA DIVISION,Ascent,12,14,5,7,0,5,7,2,2,Team Secret,Defense,1
78,T1,Gen.G,T1,Gen.G,Fracture,13,8,6,7,0,5,3,0,1,Gen.G,Attack,0
78,T1,Gen.G,T1,Gen.G,Ascent,11,13,3,8,0,4,9,0,2,T1,Defense,0
78,T1,Gen.G,T1,Gen.G,Lotus,13,7,7,6,0,6,1,0,3,T1,Defense,0
79,DRX,Team Secret,Team Secret,DRX,Haven,9,13,5,4,0,8,5,0,1,DRX,Defense,0
79,DRX,Team Secret,Team Secret,DRX,Split,13,5,10,3,0,3,2,0,2,Team Secret,Defense,0
79,DRX,Team Secret,Team Secret,DRX,Bind,13,4,3,10,0,2,2,0,3,Team Secret,Attack,0
80,Paper Rex,T1,T1,Paper Rex,Lotus,13,10,6,7,0,4,6,0,1,Paper Rex,Attack,0
80,Paper Rex,T1,T1,Paper Rex,Fracture,13,10,5,8,0,4,6,0,2,T1,Attack,0
81,Team Secret,Gen.G,Gen.G,Team Secret,Ascent,13,8,7,6,0,6,2,0,1,Team Secret,Defense,0
81,Team Secret,Gen.G,Gen.G,Team Secret,Haven,8,13,6,2,0,10,3,0,2,Gen.G,Attack,0
81,Team Secret,Gen.G,Gen.G,Team Secret,Split,12,14,5,7,0,5,7,2,3,Gen.G,Attack,1
82,T1,ZETA DIVISION,ZETA DIVISION,T1,Haven,13,10,5,8,0,4,6,0,1,T1,Defense,0
82,T1,ZETA DIVISION,ZETA DIVISION,T1,Bind,12,14,7,5,0,7,5,2,2,ZETA DIVISION,Attack,1
82,T1,ZETA DIVISION,ZETA DIVISION,T1,Fracture,13,10,8,5,0,7,3,0,3,ZETA DIVISION,Attack,0
83,DRX,Paper Rex,Paper Rex,DRX,Fracture,5,13,5,0,0,6,7,0,1,DRX,Attack,0
83,DRX,Paper Rex,Paper Rex,DRX,Bind,6,13,2,4,0,8,5,0,2,Paper Rex,Attack,0
84,T1,Gen.G,T1,Gen.G,Fracture,13,10,8,5,0,7,3,0,1,Gen.G,Attack,0
84,T1,Gen.G,T1,Gen.G,Ascent,13,10,6,7,0,5,5,0,2,T1,Defense,0
85,DRX,T1,DRX,T1,Ascent,11,13,9,2,0,10,3,0,1,T1,Defense,0
85,DRX,T1,DRX,T1,Fracture,13,11,4,9,0,3,8,0,2,DRX,Attack,0
85,DRX,T1,DRX,T1,Haven,13,11,9,4,0,8,3,0,3,T1,Defense,0
85,DRX,T1,DRX,T1,Bind,6,13,4,2,0,5,8,0,4,DRX,Attack,0
85,DRX,T1,DRX,T1,Pearl,13,9,8,5,0,5,4,0,5,T1,Defense,0
86,Paper Rex,DRX,Paper Rex,DRX,Fracture,6,13,3,3,0,9,4,0,1,DRX,Attack,0
86,Paper Rex,DRX,Paper Rex,DRX,Ascent,14,16,6,6,2,6,6,4,2,Paper Rex,Attack,1
86,Paper Rex,DRX,Paper Rex,DRX,Pearl,13,8,8,5,0,4,4,0,3,DRX,,0
86,Paper Rex,DRX,Paper Rex,DRX,Bind,13,6,4,9,0,3,3,0,4,Paper Rex,Defense,0
86,Paper Rex,DRX,Paper Rex,DRX,Lotus,13,3,4,9,0,3,0,0,5,DRX,Attack,0
87,KOI,Natus Vincere,Natus Vincere,KOI,Ascent,13,7,5,8,0,4,3,0,1,KOI,Defense,0
87,KOI,Natus Vincere,Natus Vincere,KOI,Lotus,20,18,3,9,8,3,9,6,2,Natus Vincere,Defense,1
88,FNATIC,GIANTX,FNATIC,GIANTX,Icebox,13,3,3,10,0,2,1,0,1,GIANTX,Attack,0
88,FNATIC,GIANTX,FNATIC,GIANTX,Split,13,11,7,6,0,6,5,0,2,FNATIC,Defense,0
