Score Difference,Map_Ascent,Map_Bind,Map_Breeze,Map_Haven,Map_Icebox,Map_Lotus,Map_Split,Map_Sunset,Map Name,Team 1,Team 2,pick_team_1,pick_team_2,remaining_map,Recent Form Difference,Win Rate Difference,Team 1 Attack Win Rate,Team 1 Defense Win Rate,Team 2 Attack Win Rate,Team 2 Defense Win Rate,Team 1 ID,Team 2 ID,Total Rounds Played Difference
-4,1,0,0,0,0,0,0,0,Ascent,Cloud9,MIBR,0,1,0,-2.8,-0.1999999999999999,0.4166666666666667,0.5833333333333334,0.5,0.5,2,9,24
-10,0,0,0,0,0,0,1,0,Split,LEVIATÁN,Sentinels,0,1,0,-1.8333333333333333,0.0999999999999999,0.375,0.2666666666666666,0.4166666666666667,0.6666666666666666,4,7,-6
7,0,0,1,0,0,0,0,0,Breeze,LEVIATÁN,Sentinels,1,0,0,-1.8333333333333333,0.0999999999999999,0.5,0.5,0.5,0.5,4,7,0
-4,0,1,0,0,0,0,0,0,Bind,LEVIATÁN,Sentinels,0,0,1,-1.8333333333333333,0.0999999999999999,0.6666666666666666,0.4545454545454545,0.2857142857142857,0.3333333333333333,4,7,27
5,0,0,0,0,0,0,1,0,Split,G2 Esports,KRÜ Esports,0,1,0,0.2666666666666666,0.0666666666666667,0.5,0.5,0.5,0.5,8,5,0
5,0,0,0,0,0,0,0,1,Sunset,G2 Esports,KRÜ Esports,1,0,0,0.2666666666666666,0.0666666666666667,0.6818181818181818,0.4166666666666667,0.5,0.3,8,5,24
-6,0,0,0,0,0,0,1,0,Split,MIBR,Sentinels,0,1,0,0.8392857142857142,0.2142857142857143,0.6363636363636364,0.5714285714285714,0.5,0.696969696969697,9,7,-18
-7,1,0,0,0,0,0,0,0,Ascent,MIBR,Sentinels,1,0,0,0.8392857142857142,0.2142857142857143,0.5833333333333334,0.6,0.2,0.5833333333333334,9,7,0
-4,0,0,0,0,0,0,0,1,Sunset,G2 Esports,MIBR,1,0,0,1.309523809523809,0.0158730158730158,0.7419354838709677,0.4166666666666667,0.5,0.5,8,9,67
0,0,0,0,0,0,0,1,0,Split,G2 Esports,MIBR,0,1,0,1.309523809523809,0.0158730158730158,0.6666666666666666,0.5833333333333334,0.4705882352941176,0.5862068965517241,8,9,-42
-3,0,0,1,0,0,0,0,0,Breeze,G2 Esports,MIBR,0,0,1,1.309523809523809,0.0158730158730158,0.5,0.5,0.3333333333333333,0.75,8,9,-24
5,0,0,0,0,0,0,0,1,Sunset,Sentinels,G2 Esports,1,0,0,3.107142857142857,0.0999999999999999,0.5,0.5,0.6341463414634146,0.4375,7,8,-89
-4,0,0,1,0,0,0,0,0,Breeze,Sentinels,G2 Esports,0,1,0,3.107142857142857,0.0999999999999999,0.4285714285714285,0.25,0.3636363636363636,0.5,7,8,-4
-4,0,0,0,0,0,0,1,0,Split,Sentinels,G2 Esports,0,0,1,3.107142857142857,0.0999999999999999,0.4722222222222222,0.7333333333333333,0.6190476190476191,0.5,7,8,36
6,1,0,0,0,0,0,0,0,Ascent,Evil Geniuses,LOUD,0,1,0,-0.6000000000000001,0.1999999999999999,0.5,0.5,0.5833333333333334,0.6666666666666666,10,3,-42
-6,0,0,0,0,1,0,0,0,Icebox,Evil Geniuses,LOUD,1,0,0,-0.6000000000000001,0.1999999999999999,0.5,0.5833333333333334,0.5,0.5,10,3,24
-8,0,0,0,0,0,0,0,1,Sunset,Evil Geniuses,LOUD,0,0,1,-0.6000000000000001,0.1999999999999999,0.6666666666666666,0.3333333333333333,0.5,0.5,10,3,24
0,0,0,0,0,0,0,0,1,Sunset,NRG Esports,Sentinels,0,1,0,1.875,0.4615384615384615,0.625,0.6666666666666666,0.3333333333333333,1.0,1,7,-1
5,1,0,0,0,0,0,0,0,Ascent,NRG Esports,Sentinels,1,0,0,1.875,0.4615384615384615,0.4583333333333333,0.6666666666666666,0.4705882352941176,0.5833333333333334,1,7,4
-10,0,0,0,0,0,0,1,0,Split,NRG Esports,Sentinels,0,0,1,1.875,0.4615384615384615,0.5,0.5,0.4130434782608695,0.7017543859649122,1,7,-103
-4,0,0,0,0,0,0,0,1,Sunset,LOUD,Sentinels,1,0,0,0.5,0.1875,0.8333333333333334,0.6666666666666666,0.375,0.7619047619047619,3,7,-27
-10,0,0,0,0,0,0,1,0,Split,LOUD,Sentinels,0,1,0,0.5,0.1875,0.4782608695652174,0.625,0.42,0.7391304347826086,3,7,-72
2,0,0,0,0,1,0,0,0,Icebox,LOUD,Sentinels,1,0,0,0.5,0.1875,0.6666666666666666,0.625,0.5,0.5,3,7,20
5,0,1,0,0,0,0,0,0,Bind,LOUD,Sentinels,0,1,0,0.5,0.1875,0.6666666666666666,0.25,0.4210526315789473,0.5,3,7,-17
-9,0,0,0,0,0,1,0,0,Lotus,LOUD,Sentinels,0,0,1,0.5,0.1875,0.5,0.5,0.75,0.6666666666666666,3,7,-18
0,0,0,1,0,0,0,0,0,Breeze,T1,BLEED,0,1,0,0.0,0.0,0.5,0.5,0.5,0.5,11,16,0
7,0,0,0,0,0,1,0,0,Lotus,T1,BLEED,1,0,0,0.0,0.0,0.5,0.5,0.5,0.5,11,16,0
2,0,0,0,0,1,0,0,0,Icebox,Gen.G,Rex Regum Qeon,0,1,0,0.0,0.0,0.5,0.5,0.5,0.5,12,44,0
-2,0,0,0,0,0,0,1,0,Split,Gen.G,Rex Regum Qeon,1,0,0,0.0,0.0,0.5,0.5,0.5,0.5,12,44,0
5,0,0,0,0,0,0,0,1,Sunset,Gen.G,Rex Regum Qeon,0,0,1,0.0,0.0,0.5,0.5,0.5,0.5,12,44,0
3,0,1,0,0,0,0,0,0,Bind,ZETA DIVISION,Global Esports,0,1,0,0.0,0.0,0.5,0.5,0.5,0.5,13,42,0
6,0,0,0,0,1,0,0,0,Icebox,ZETA DIVISION,Global Esports,1,0,0,0.0,0.0,0.5,0.5,0.5,0.5,13,42,0
-5,0,0,1,0,0,0,0,0,Breeze,Team Secret,Talon Esports,0,1,0,0.0,0.0,0.5,0.5,0.5,0.5,14,18,0
-10,1,0,0,0,0,0,0,0,Ascent,Team Secret,Talon Esports,1,0,0,0.0,0.0,0.5,0.5,0.5,0.5,14,18,0
5,0,0,0,0,0,1,0,0,Lotus,DRX,DetonatioN FocusMe,0,1,0,0.0,0.0,0.5,0.5,0.5,0.5,15,17,0
5,0,0,1,0,0,0,0,0,Breeze,DRX,DetonatioN FocusMe,1,0,0,0.0,0.0,0.5,0.5,0.5,0.5,15,17,0
3,0,0,1,0,0,0,0,0,Breeze,Gen.G,Paper Rex,1,0,0,1.6666666666666667,0.1666666666666666,0.5,0.5,0.5,0.5,12,19,0
-3,0,0,0,0,0,1,0,0,Lotus,Gen.G,Paper Rex,0,1,0,1.6666666666666667,0.1666666666666666,0.5,0.5,0.5,0.5,12,19,0
-6,0,0,0,0,0,0,0,1,Sunset,Gen.G,Paper Rex,0,0,1,1.6666666666666667,0.1666666666666666,0.5555555555555556,0.6666666666666666,0.5,0.5,12,19,21
-4,0,0,0,0,0,0,0,1,Sunset,BLEED,Global Esports,0,1,0,0.0,0.0,0.5,0.5,0.5,0.5,16,42,0
3,0,0,0,0,1,0,0,0,Icebox,BLEED,Global Esports,1,0,0,0.0,0.0,0.5,0.5,0.5,0.125,16,42,-20
-2,0,0,0,0,0,0,1,0,Split,BLEED,Global Esports,0,0,1,0.0,0.0,0.5,0.5,0.5,0.5,16,42,0
-2,1,0,0,0,0,0,0,0,Ascent,T1,ZETA DIVISION,0,1,0,0.0,0.0,0.5,0.5,0.5,0.5,11,13,0
9,0,0,0,0,0,1,0,0,Lotus,T1,ZETA DIVISION,1,0,0,0.0,0.0,0.75,0.5714285714285714,0.5,0.5,11,13,19
6,0,0,0,0,0,0,0,1,Sunset,T1,ZETA DIVISION,0,0,1,0.0,0.0,0.5,0.5,0.5,0.5,11,13,0
-6,0,0,0,0,0,1,0,0,Lotus,DetonatioN FocusMe,Team Secret,1,0,0,2.5,0.0,0.4166666666666667,0.3333333333333333,0.5,0.5,17,14,21
-2,0,0,1,0,0,0,0,0,Breeze,DetonatioN FocusMe,Team Secret,0,1,0,2.5,0.0,0.3333333333333333,0.4444444444444444,0.25,0.5555555555555556,17,14,0
3,0,0,0,0,0,0,1,0,Split,DRX,Talon Esports,1,0,0,-2.5,0.0,0.5,0.5,0.5,0.5,15,18,0
5,1,0,0,0,0,0,0,0,Ascent,DRX,Talon Esports,0,1,0,-2.5,0.0,0.5,0.5,1.0,0.75,15,18,-16
6,0,0,0,0,0,1,0,0,Lotus,Gen.G,Rex Regum Qeon,0,1,0,1.5000000000000002,0.1666666666666666,0.4166666666666667,0.4545454545454545,0.5,0.5,12,44,23
-3,0,0,1,0,0,0,0,0,Breeze,Gen.G,Rex Regum Qeon,1,0,0,1.5000000000000002,0.1666666666666666,0.6363636363636364,0.5,0.5,0.5,12,44,23
2,0,0,0,0,1,0,0,0,Icebox,Gen.G,Rex Regum Qeon,0,0,1,1.5000000000000002,0.1666666666666666,0.5,0.5833333333333334,0.4166666666666667,0.5,12,44,0
-5,0,0,1,0,0,0,0,0,Breeze,Talon Esports,Team Secret,0,1,0,3.5,0.0,0.4444444444444444,0.75,0.375,0.5714285714285714,18,14,-24
-6,1,0,0,0,0,0,0,0,Ascent,Talon Esports,Team Secret,1,0,0,3.5,0.0,0.625,0.5238095238095238,0.25,0.0,18,14,21
5,0,1,0,0,0,0,0,0,Bind,ZETA DIVISION,Global Esports,0,1,0,0.3999999999999999,0.1999999999999999,0.5454545454545454,0.5833333333333334,0.4166666666666667,0.4545454545454545,13,42,0
10,0,0,0,0,0,1,0,0,Lotus,ZETA DIVISION,Global Esports,1,0,0,0.3999999999999999,0.1999999999999999,0.25,0.2,0.5,0.5,13,42,17
8,0,0,1,0,0,0,0,0,Breeze,Team Secret,Gen.G,1,0,0,0.2222222222222222,0.111111111111111,0.4242424242424242,0.6060606060606061,0.6363636363636364,0.375,14,12,20
-4,0,0,0,0,0,1,0,0,Lotus,Team Secret,Gen.G,0,1,0,0.2222222222222222,0.111111111111111,0.75,0.5,0.4166666666666667,0.6842105263157895,14,12,-23
0,0,0,0,0,1,0,0,0,Icebox,Team Secret,Gen.G,0,0,1,0.2222222222222222,0.111111111111111,0.5,0.5,0.5833333333333334,0.5,14,12,-48
-12,0,0,0,0,1,0,0,0,Icebox,ZETA DIVISION,Team Secret,0,1,0,-1.4285714285714286,0.1587301587301587,0.875,0.5,0.3333333333333333,0.6666666666666666,13,14,-4
-5,1,0,0,0,0,0,0,0,Ascent,ZETA DIVISION,Team Secret,1,0,0,-1.4285714285714286,0.1587301587301587,0.5833333333333334,0.5,0.55,0.3125,13,14,-12
7,0,0,0,0,1,0,0,0,Icebox,Gen.G,ZETA DIVISION,1,0,0,1.809523809523809,0.0277777777777777,0.5,0.5555555555555556,0.7,0.2916666666666667,12,13,38
9,1,0,0,0,0,0,0,0,Ascent,Gen.G,ZETA DIVISION,0,1,0,1.809523809523809,0.0277777777777777,0.5,0.5,0.5833333333333334,0.3333333333333333,12,13,-45
0,0,0,0,0,0,0,1,0,Split,T1,Paper Rex,0,1,0,2.4000000000000004,0.1333333333333334,0.5,0.5,0.5,0.5,11,19,0
-7,1,0,0,0,0,0,0,0,Ascent,T1,Paper Rex,1,0,0,2.4000000000000004,0.1333333333333334,0.5,0.4166666666666667,0.5,0.5,11,19,24
0,0,1,0,0,0,0,0,0,Bind,DRX,Gen.G,1,0,0,2.125,0.3571428571428571,0.5,0.5,0.5,0.5,15,12,0
-5,0,0,0,0,0,1,0,0,Lotus,DRX,Gen.G,0,1,0,2.125,0.3571428571428571,0.6666666666666666,0.5833333333333334,0.5588235294117647,0.5483870967741935,15,12,-44
-8,1,0,0,0,0,0,0,0,Ascent,Paper Rex,Gen.G,0,1,0,0.0,0.1125,0.6666666666666666,0.7142857142857143,0.6,0.8333333333333334,19,12,2
9,0,0,0,0,0,0,1,0,Split,Paper Rex,Gen.G,1,0,0,0.0,0.1125,0.6666666666666666,0.3333333333333333,0.1666666666666666,0.75,19,12,0
-2,0,0,0,0,0,1,0,0,Lotus,Paper Rex,Gen.G,0,1,0,0.0,0.1125,0.5454545454545454,0.5833333333333334,0.6086956521739131,0.525,19,12,-63
-9,0,1,0,0,0,0,0,0,Bind,Paper Rex,Gen.G,1,0,0,0.0,0.1125,0.5,0.5,0.5833333333333334,0.4166666666666667,19,12,-24
-2,0,0,0,0,0,1,0,0,Lotus,FUT Esports,Team Heretics,0,1,0,0.0,0.0,0.5,0.5,0.5,0.5,20,25,0
-3,0,1,0,0,0,0,0,0,Bind,FUT Esports,Team Heretics,1,0,0,0.0,0.0,0.5,0.5,0.5,0.5,20,25,0
-2,0,0,0,0,0,0,1,0,Split,GIANTX,Karmine Corp,0,1,0,0.0,0.0,0.5,0.5,0.5,0.5,21,27,0
3,0,0,0,0,0,0,0,1,Sunset,GIANTX,Karmine Corp,1,0,0,0.0,0.0,0.5,0.5,0.5,0.5,21,27,0
-9,0,0,0,0,0,1,0,0,Lotus,GIANTX,Karmine Corp,0,0,1,0.0,0.0,0.5,0.5,0.5,0.5,21,27,0
-5,0,1,0,0,0,0,0,0,Bind,Natus Vincere,BBL Esports,1,0,0,0.0,0.0,0.5,0.5,0.5,0.5,22,26,0
7,1,0,0,0,0,0,0,0,Ascent,Natus Vincere,BBL Esports,0,1,0,0.0,0.0,0.5,0.5,0.5,0.5,22,26,0
7,0,0,1,0,0,0,0,0,Breeze,Natus Vincere,BBL Esports,0,0,1,0.0,0.0,0.5,0.5,0.5,0.5,22,26,0
3,0,0,0,0,1,0,0,0,Icebox,Team Liquid,KOI,1,0,0,0.0,0.0,0.5,0.5,0.5,0.5,23,28,0
2,0,1,0,0,0,0,0,0,Bind,Team Liquid,KOI,0,1,0,0.0,0.0,0.5,0.5,0.5,0.5,23,28,0
3,0,0,0,0,0,0,0,1,Sunset,Team Vitality,Gentle Mates,1,0,0,0.0,0.0,0.5,0.5,0.5,0.5,24,39,0
6,0,0,0,0,0,1,0,0,Lotus,Team Vitality,Gentle Mates,0,1,0,0.0,0.0,0.5,0.5,0.5,0.5,24,39,0
9,0,0,0,0,0,0,1,0,Split,Team Heretics,Karmine Corp,0,1,0,-0.1666666666666665,0.3333333333333333,0.5,0.5,0.5833333333333334,0.5,25,27,-24
9,0,0,0,0,0,1,0,0,Lotus,Team Heretics,Karmine Corp,1,0,0,-0.1666666666666665,0.3333333333333333,0.6666666666666666,0.4166666666666667,0.8,0.75,25,27,7
7,0,0,0,0,0,0,1,0,Split,FUT Esports,GIANTX,0,1,0,0.1666666666666665,-0.3333333333333333,0.5,0.5,0.5,0.4166666666666667,20,21,-24
-5,0,0,0,0,1,0,0,0,Icebox,FUT Esports,GIANTX,1,0,0,0.1666666666666665,-0.3333333333333333,0.5,0.5,0.5,0.5,20,21,0
6,0,0,0,0,0,0,0,1,Sunset,FUT Esports,GIANTX,0,0,1,0.1666666666666665,-0.3333333333333333,0.5,0.5,0.5833333333333334,0.5454545454545454,20,21,-23
6,0,0,0,0,0,0,1,0,Split,Natus Vincere,Team Liquid,0,1,0,0.5,-0.3333333333333333,0.5,0.5,0.5,0.5,22,23,0
6,0,0,1,0,0,0,0,0,Breeze,Natus Vincere,Team Liquid,1,0,0,0.5,-0.3333333333333333,0.5714285714285714,0.75,0.5,0.5,22,23,19
-8,0,1,0,0,0,0,0,0,Bind,BBL Esports,KOI,1,0,0,-0.5,0.3333333333333333,0.5555555555555556,0.6666666666666666,0.5833333333333334,0.3333333333333333,26,28,-3
-3,0,0,0,0,0,0,1,0,Split,BBL Esports,KOI,0,1,0,-0.5,0.3333333333333333,0.5,0.5,0.5,0.5,26,28,0
0,0,0,0,0,0,1,0,0,Lotus,Team Vitality,FNATIC,0,1,0,4.5,0.5,0.75,0.5833333333333334,0.5,0.5,24,29,20
-8,1,0,0,0,0,0,0,0,Ascent,Team Vitality,FNATIC,1,0,0,4.5,0.5,0.5,0.5,0.5,0.5,24,29,0
-9,0,0,1,0,0,0,0,0,Breeze,Team Vitality,Gentle Mates,0,1,0,4.25,0.5,0.5,0.5,0.5,0.5,24,39,0
0,0,0,0,0,0,1,0,0,Lotus,Team Vitality,Gentle Mates,1,0,0,4.25,0.5,0.7,0.4583333333333333,0.4166666666666667,0.25,24,39,24
10,0,0,0,0,0,0,0,1,Sunset,Team Vitality,Gentle Mates,0,0,1,4.25,0.5,0.6666666666666666,0.4545454545454545,0.5454545454545454,0.3333333333333333,24,39,0
0,0,0,0,0,0,1,0,0,Lotus,Karmine Corp,FUT Esports,0,1,0,-2.6,0.0,0.4705882352941176,0.5294117647058824,0.5833333333333334,0.3333333333333333,27,20,10
-9,0,1,0,0,0,0,0,0,Bind,Karmine Corp,FUT Esports,1,0,0,-2.6,0.0,0.5,0.5,0.4545454545454545,0.4166666666666667,27,20,-23
6,0,0,0,0,0,0,0,1,Sunset,Karmine Corp,FUT Esports,0,0,1,-2.6,0.0,0.4545454545454545,0.4166666666666667,0.5833333333333334,0.75,27,20,3
-2,0,0,0,0,0,0,0,1,Sunset,Team Liquid,KOI,0,1,0,-3.25,0.0,0.5,0.5,0.5,0.5,23,28,0
0,0,0,0,0,1,0,0,0,Icebox,Team Liquid,KOI,1,0,0,-3.25,0.0,0.7272727272727273,0.4166666666666667,0.5833333333333334,0.2727272727272727,23,28,0
-3,0,0,0,0,0,0,1,0,Split,Team Liquid,KOI,0,0,1,-3.25,0.0,0.5833333333333334,0.0,0.5,0.6363636363636364,23,28,-3
5,0,0,0,0,0,0,0,1,Sunset,Karmine Corp,Team Vitality,1,0,0,-1.6607142857142856,-0.0714285714285714,0.4210526315789473,0.625,0.7916666666666666,0.4666666666666667,27,24,4
0,1,0,0,0,0,0,0,0,Ascent,Karmine Corp,Team Vitality,0,1,0,-1.6607142857142856,-0.0714285714285714,0.5,0.5,0.4166666666666667,0.0,27,24,-18
-4,0,0,0,0,0,0,0,1,Sunset,KOI,Team Vitality,1,0,0,3.2857142857142856,0.1269841269841269,0.4166666666666667,0.6666666666666666,0.6388888888888888,0.4583333333333333,28,24,-36
-7,0,0,1,0,0,0,0,0,Breeze,KOI,Team Vitality,0,1,0,3.2857142857142856,0.1269841269841269,0.5,0.5,0.4,0.1666666666666666,28,24,-17
9,0,0,0,0,0,0,0,1,Sunset,Karmine Corp,KOI,1,0,0,-2.142857142857143,0.1555555555555555,0.4642857142857143,0.6388888888888888,0.5454545454545454,0.4166666666666667,27,28,18
6,0,1,0,0,0,0,0,0,Bind,Karmine Corp,KOI,0,1,0,-2.142857142857143,0.1555555555555555,0.2,0.25,0.7083333333333334,0.3888888888888889,27,28,-25
0,0,0,0,0,0,0,0,1,Sunset,Team Heretics,Natus Vincere,1,0,0,1.5499999999999998,0.1999999999999999,0.5,0.5,0.5,0.5,25,22,0
9,0,0,1,0,0,0,0,0,Breeze,Team Heretics,Natus Vincere,0,1,0,1.5499999999999998,0.1999999999999999,0.5,0.5,0.5263157894736842,0.8,25,22,-39
-3,0,0,0,0,0,1,0,0,Lotus,FNATIC,Karmine Corp,1,0,0,2.0,0.3333333333333333,0.6666666666666666,0.3333333333333333,0.4827586206896552,0.5172413793103449,29,27,-34
-5,0,0,0,0,0,0,1,0,Split,FNATIC,Karmine Corp,0,1,0,2.0,0.3333333333333333,0.5,0.5,0.4166666666666667,0.4117647058823529,29,27,-41
4,0,0,0,0,0,0,0,1,Sunset,Team Heretics,Karmine Corp,0,1,0,0.666666666666667,0.2857142857142857,0.3333333333333333,0.6666666666666666,0.5454545454545454,0.6458333333333334,25,27,-57
-6,0,0,0,0,0,1,0,0,Lotus,Team Heretics,Karmine Corp,1,0,0,0.666666666666667,0.2857142857142857,0.7647058823529411,0.5416666666666666,0.475,0.5609756097560976,25,27,-40
-6,0,0,0,0,1,0,0,0,Icebox,Team Heretics,Karmine Corp,0,1,0,0.666666666666667,0.2857142857142857,0.5,0.5,0.5,0.5,25,27,0
-8,0,0,0,0,0,0,1,0,Split,Team Heretics,Karmine Corp,1,0,0,0.666666666666667,0.2857142857142857,0.8,0.75,0.4722222222222222,0.5,25,27,-45
9,1,0,0,0,0,0,0,0,Ascent,Trace Esports,TYLOO,0,1,0,0.0,0.0,0.5,0.5,0.5,0.5,30,35,0
10,0,0,0,0,0,0,0,1,Sunset,Trace Esports,TYLOO,1,0,0,0.0,0.0,0.5,0.5,0.5,0.5,30,35,0
8,0,0,0,0,0,1,0,0,Lotus,FunPlus Phoenix,Nova Esports,1,0,0,0.0,0.0,0.5,0.5,0.5,0.5,31,40,0
3,0,0,0,0,0,0,0,1,Sunset,FunPlus Phoenix,Nova Esports,0,1,0,0.0,0.0,0.5,0.5,0.5,0.5,31,40,0
-5,0,0,0,0,0,1,0,0,Lotus,JDG Esports,Titan Esports Club,1,0,0,0.0,0.0,0.5,0.5,0.5,0.5,32,36,0
0,0,1,0,0,0,0,0,0,Bind,JDG Esports,Titan Esports Club,0,1,0,0.0,0.0,0.5,0.5,0.5,0.5,32,36,0
2,0,0,0,0,0,0,0,1,Sunset,Dragon Ranger Gaming,All Gamers,0,1,0,0.0,0.0,0.5,0.5,0.5,0.5,33,41,0
9,1,0,0,0,0,0,0,0,Ascent,Dragon Ranger Gaming,All Gamers,1,0,0,0.0,0.0,0.5,0.5,0.5,0.5,33,41,0
-4,1,0,0,0,0,0,0,0,Ascent,Bilibili Gaming,Wolves Esports,1,0,0,0.0,0.0,0.5,0.5,0.5,0.5,34,37,0
-6,0,0,0,0,1,0,0,0,Icebox,Bilibili Gaming,Wolves Esports,0,1,0,0.0,0.0,0.5,0.5,0.5,0.5,34,37,0
-2,1,0,0,0,0,0,0,0,Ascent,TYLOO,Nova Esports,1,0,0,-4.0,0.0,0.3333333333333333,0.0,0.5,0.5,35,40,17
-2,0,0,0,0,0,0,1,0,Split,TYLOO,Nova Esports,0,1,0,-4.0,0.0,0.5,0.5,0.5,0.5,35,40,0
2,0,0,0,0,1,0,0,0,Icebox,JDG Esports,All Gamers,0,1,0,2.0,0.0,0.5,0.5,0.5,0.5,32,41,0
5,0,0,0,0,0,0,0,1,Sunset,JDG Esports,All Gamers,1,0,0,2.0,0.0,0.5,0.5,0.5833333333333334,0.3333333333333333,32,41,-24
-2,0,0,0,0,0,0,0,1,Sunset,Trace Esports,FunPlus Phoenix,0,1,0,4.0,0.0,0.5,0.9166666666666666,0.5833333333333334,0.5454545454545454,30,31,-7
2,0,1,0,0,0,0,0,0,Bind,Trace Esports,FunPlus Phoenix,1,0,0,4.0,0.0,0.5,0.5,0.5,0.5,30,31,0
-3,0,0,0,0,0,1,0,0,Lotus,Trace Esports,FunPlus Phoenix,0,0,1,4.0,0.0,0.5,0.5,1.0,0.5833333333333334,30,31,-18
-2,0,0,0,0,1,0,0,0,Icebox,Titan Esports Club,Dragon Ranger Gaming,0,1,0,-2.0,0.0,0.5,0.5,0.5,0.5,36,33,0
5,0,0,0,0,0,0,1,0,Split,Titan Esports Club,Dragon Ranger Gaming,1,0,0,-2.0,0.0,0.5,0.5,0.5,0.5,36,33,0
-3,0,1,0,0,0,0,0,0,Bind,Titan Esports Club,Dragon Ranger Gaming,0,0,1,-2.0,0.0,0.3333333333333333,0.6666666666666666,0.5,0.5,36,33,24
