Event,Team 1,Team 2,Date,Match Format,Maps Picked/Banned,Map Scores,Team 1 Attack,Team 1 Defense,Team 1 Overtime,Team 2 Defense,Team 2 Attack,Team 2 Overtime,Durations (in seconds)
Valorant Champions 2024,LEVIATÁN,Trace Esports,2024-08-07 04:00:00,Bo3,TE ban Icebox; LEV ban Lotus; TE pick Bind; LEV pick Sunset; TE ban Haven; LEV ban Abyss; Ascent remains,"['Bind: 10-13', ' Sunset: 13-9', ' Ascent: 5-13']","['5', '6', '2']","['5', '7', '3']","[None, None, None]","['6', '4', '10']","['7', '5', '3']","[None, None, None]","[3965, 2813, 2762]"
Valorant Champions 2024,EDward Gaming,G2 Esports,2024-08-07 07:15:00,Bo3,G2 ban Sunset; EDG ban Ascent; G2 pick Icebox; EDG pick Haven; G2 ban Lotus; EDG ban Abyss; Bind remains,"['Icebox: 13-8', ' Haven: 11-13', ' Bind: 11-13']","['9', '5', '8']","['4', '6', '3']","[None, None, None]","['3', '7', '4']","['5', '6', '9']","[None, None, None]","[3406, 3317, 3480]"
Valorant Champions 2024,Sentinels,FunPlus Phoenix,2024-08-08 04:00:00,Bo3,FPX ban Sunset; SEN ban Icebox; FPX pick Bind; SEN pick Lotus; FPX ban Haven; SEN ban Ascent; Abyss remains,"['Bind: 13-8', ' Lotus: 13-5']","['4', '4']","['9', '9']","[None, None]","['8', '2']","['0', '3']","[None, None]","[3480, 2517]"
Valorant Champions 2024,Bilibili Gaming,KRÜ Esports,2024-08-08 06:10:00,Bo3,KRÜ ban Bind; BLG ban Haven; KRÜ pick Lotus; BLG pick Icebox; KRÜ ban Abyss; BLG ban Ascent; Sunset remains,"['Lotus: 9-13', ' Icebox: 4-13']","['7', '3']","['2', '1']","[None, None]","['5', '9']","['8', '4']","[None, None]","[3666, 2180]"
Valorant Champions 2024,Talon Esports,Team Vitality,2024-08-09 04:00:00,Bo3,TLN ban Icebox; VIT ban Abyss; TLN pick Lotus; VIT pick Sunset; TLN ban Ascent; VIT ban Haven; Bind remains,"['Lotus: 6-13', ' Sunset: 8-13']","['4', '2']","['2', '6']","[None, None]","['3', '7']","['10', '6']","[None, None]","[3964, 2934]"
Valorant Champions 2024,FUT Esports,Paper Rex,2024-08-09 06:25:00,Bo3,FUT ban Haven; PRX ban Ascent; FUT pick Sunset; PRX pick Bind; FUT ban Abyss; PRX ban Icebox; Lotus remains,"['Sunset: 11-13', ' Bind: 6-13']","['6', '3']","['5', '3']","[None, None]","['6', '9']","['7', '4']","[None, None]","[3768, 2405]"
Valorant Champions 2024,Gen.G,Sentinels,2024-08-10 04:00:00,Bo3,SEN ban Ascent; GEN ban Sunset; SEN pick Lotus; GEN pick Icebox; SEN ban Abyss; GEN ban Bind; Haven remains,"['Lotus: 9-13', ' Icebox: 6-13']","['4', '5']","['5', '1']","[None, None]","['6', '7']","['7', '6']","[None, None]","[3471, 2645]"
Valorant Champions 2024,FNATIC,KRÜ Esports,2024-08-10 06:15:00,Bo3,KRÜ ban Bind; FNC ban Icebox; KRÜ pick Sunset; FNC pick Haven; KRÜ ban Abyss; FNC ban Ascent; Lotus remains,"['Sunset: 11-13', ' Haven: 13-9', ' Lotus: 13-5']","['7', '7', '5']","['4', '6', '8']","[None, None, None]","['5', '3', '1']","['8', '6', '4']","[None, None, None]","[3929, 3548, 2759]"
Valorant Champions 2024,LEVIATÁN,Team Vitality,2024-08-11 04:00:00,Bo3,LEV ban Bind; VIT ban Abyss; LEV pick Icebox; VIT pick Sunset; LEV ban Lotus; VIT ban Haven; Ascent remains,"['Icebox: 14-12', ' Sunset: 13-4']","['5', '3']","['7', '10']","['2', None]","['7', '2']","['5', '2']","['0', None]","[4177, 2190]"
Valorant Champions 2024,EDward Gaming,Paper Rex,2024-08-11 06:15:00,Bo3,EDG ban Bind; PRX ban Haven; EDG pick Icebox; PRX pick Sunset; EDG ban Ascent; PRX ban Abyss; Lotus remains,"['Icebox: 3-13', ' Sunset: 13-8', ' Lotus: 13-4']","['0', '6', '9']","['3', '7', '4']","[None, None, None]","['4', '6', '3']","['9', '2', '1']","[None, None, None]","[2700, 2814, 1990]"
Valorant Champions 2024,DRX,Sentinels,2024-08-14 04:00:00,Bo3,SEN ban Ascent; DRX ban Lotus; SEN pick Sunset; DRX pick Haven; SEN ban Bind; DRX ban Abyss; Icebox remains,"['Sunset: 13-15', ' Haven: 8-13']","['6', '2']","['6', '6']","['1', None]","['6', '7']","['6', '6']","['3', None]","[4126, 2590]"
Valorant Champions 2024,Trace Esports,EDward Gaming,2024-08-14 06:25:00,Bo3,TE ban Icebox; EDG ban Ascent; TE pick Bind; EDG pick Sunset; TE ban Haven; EDG ban Abyss; Lotus remains,"['Bind: 7-13', ' Sunset: 10-13']","['5', '2']","['2', '8']","[None, None]","['3', '10']","['10', '3']","[None, None]","[3040, 3152]"
Valorant Champions 2024,G2 Esports,LEVIATÁN,2024-08-15 04:00:00,Bo3,LEV ban Bind; G2 ban Sunset; LEV pick Icebox; G2 pick Abyss; LEV ban Lotus; G2 ban Ascent; Haven remains,"['Icebox: 14-16', ' Abyss: 5-13']","['8', '4']","['4', '1']","['2', None]","['4', '8']","['8', '5']","['4', None]","[4859, 2643]"
Valorant Champions 2024,Team Heretics,FNATIC,2024-08-15 06:35:00,Bo3,FNC ban Icebox; TH ban Ascent; FNC pick Lotus; TH pick Abyss; FNC ban Sunset; TH ban Bind; Haven remains,"['Lotus: 13-3', ' Abyss: 14-12']","['4', '9']","['9', '3']","[None, '2']","['0', '3']","['3', '9']","[None, '0']","[2900, 3710]"
Valorant Champions 2024,DRX,Trace Esports,2024-08-16 04:00:00,Bo3,TE ban Icebox; DRX ban Ascent; TE pick Lotus; DRX pick Abyss; TE ban Bind; DRX ban Haven; Sunset remains,"['Lotus: 13-3', ' Abyss: 13-5']","['10', '4']","['3', '9']","[None, None]","['2', '2']","['1', '3']","[None, None]","[2572, 2441]"
Valorant Champions 2024,G2 Esports,FNATIC,2024-08-16 05:50:00,Bo3,FNC ban Icebox; G2 ban Sunset; FNC pick Haven; G2 pick Bind; FNC ban Abyss; G2 ban Ascent; Lotus remains,"['Haven: 3-13', ' Bind: 11-13']","['3', '7']","['0', '4']","[None, None]","['9', '5']","['4', '8']","[None, None]","[2609, 3490]"
Valorant Champions 2024,Sentinels,EDward Gaming,2024-08-17 04:00:00,Bo3,EDG ban Icebox; SEN ban Bind; EDG pick Haven; SEN pick Lotus; EDG ban Ascent; SEN ban Abyss; Sunset remains,"['Haven: 13-9', ' Lotus: 9-13', ' Sunset: 6-13']","['8', '3', '4']","['5', '6', '2']","[None, None, None]","['4', '7', '3']","['5', '6', '10']","[None, None, None]","[3717, 3224, 2524]"
Valorant Champions 2024,LEVIATÁN,Team Heretics,2024-08-17 07:15:00,Bo3,LEV ban Bind; TH ban Ascent; LEV pick Icebox; TH pick Lotus; LEV ban Abyss; TH ban Sunset; Haven remains,"['Icebox: 15-13', ' Lotus: 13-10']","['7', '9']","['5', '4']","['3', None]","['5', '2']","['7', '8']","['1', None]","[4495, 3465]"
Valorant Champions 2024,Sentinels,FNATIC,2024-08-18 04:00:00,Bo3,SEN ban Haven; FNC ban Icebox; SEN pick Sunset; FNC pick Bind; SEN ban Abyss; FNC ban Ascent; Lotus remains,"['Sunset: 13-11', ' Bind: 9-13', ' Lotus: 13-6']","['9', '7', '8']","['4', '2', '5']","[None, None, None]","['3', '5', '4']","['8', '8', '2']","[None, None, None]","[4103, 3143, 3087]"
Valorant Champions 2024,Team Heretics,DRX,2024-08-18 07:25:00,Bo3,DRX ban Bind; TH ban Ascent; DRX pick Abyss; TH pick Sunset; DRX ban Lotus; TH ban Haven; Icebox remains,"['Abyss: 5-13', ' Sunset: 13-5', ' Icebox: 13-10']","['0', '6', '8']","['5', '7', '5']","[None, None, None]","['6', '0', '3']","['7', '5', '7']","[None, None, None]","[3164, 2622, 3470]"
Valorant Champions 2024,EDward Gaming,LEVIATÁN,2024-08-23 03:00:00,Bo3,LEV ban Bind; EDG ban Ascent; LEV pick Icebox; EDG pick Lotus; LEV ban Haven; EDG ban Sunset; Abyss remains,"['Icebox: 14-16', ' Lotus: 13-4', ' Abyss: 13-11']","['3', '8', '6']","['9', '5', '7']","['2', None, None]","['9', '4', '6']","['3', '0', '5']","['4', None, None]","[5283, 2385, 3694]"
Valorant Champions 2024,Team Heretics,Sentinels,2024-08-23 06:45:00,Bo3,SEN ban Sunset; TH ban Lotus; SEN pick Haven; TH pick Icebox; SEN ban Bind; TH ban Ascent; Abyss remains,"['Haven: 8-13', ' Icebox: 13-9', ' Abyss: 13-7']","['5', '5', '5']","['3', '8', '8']","[None, None, None]","['7', '7', '3']","['6', '2', '4']","[None, None, None]","[3701, 3293, 2872]"
Valorant Champions 2024,LEVIATÁN,Team Heretics,2024-08-24 03:00:00,Bo5,LEV ban Bind; TH ban Ascent; LEV pick Icebox; TH pick Sunset; LEV pick Abyss; TH pick Lotus; Haven remains,"['Icebox: 7-13', ' Sunset: 13-15', ' Abyss: 13-9', ' Lotus: 3-13']","['5', '8', '5', '2']","['2', '4', '8', '1']","[None, '1', None, None]","['7', '4', '7', '2']","['6', '8', '2', '11']","[None, '3', None, None]","[3781, 4078, 3308, 2324]"
Valorant Champions 2024,EDward Gaming,Team Heretics,2024-08-25 03:00:00,Bo5,EDG ban Ascent; EDG ban Icebox; EDG pick Haven; TH pick Sunset; EDG pick Lotus; TH pick Bind; Abyss remains,"['Haven: 6-13', ' Sunset: 13-4', ' Lotus: 13-9', ' Bind: 11-13', ' Abyss: 13-9']","['3', '11', '7', '6', '8']","['3', '2', '6', '5', '5']","[None, None, None, None, None]","['9', '1', '3', '6', '4']","['4', '3', '6', '7', '5']","[None, None, None, None, None]","[4603, 2711, 3330, 3705, 3115]"
Champions Tour 2024: Americas Stage 2,MIBR,LEVIATÁN,2024-06-22 17:00:00,Bo3,MIBR ban Haven; LEV ban Split; MIBR pick Ascent; LEV pick Icebox; MIBR ban Lotus; LEV ban Sunset; Bind remains,"['Ascent: 9-13', ' Icebox: 7-13']","['6', '3']","['3', '4']","[None, None]","['6', '9']","['7', '4']","[None, None]","[3924, 2704]"
Champions Tour 2024: Americas Stage 2,Sentinels,NRG Esports,2024-06-22 19:15:00,Bo3,NRG ban Haven; SEN ban Icebox; NRG pick Lotus; SEN pick Sunset; NRG ban Bind; SEN ban Ascent; Split remains,"['Lotus: 13-8', ' Sunset: 14-12']","['8', '9']","['5', '3']","[None, '2']","['4', '3']","['4', '9']","[None, '0']","[3561, 3654]"
Champions Tour 2024: Americas Stage 2,FURIA,100 Thieves,2024-06-23 17:00:00,Bo3,FUR ban Bind; 100T ban Sunset; FUR pick Icebox; 100T pick Haven; FUR ban Lotus; 100T ban Split; Ascent remains,"['Icebox: 14-12', ' Haven: 16-14']","['6', '9']","['6', '3']","['2', '4']","['6', '3']","['6', '9']","['0', '2']","[4371, 3650]"
Champions Tour 2024: Americas Stage 2,LOUD,Evil Geniuses,2024-06-23 19:45:00,Bo3,LOUD ban Split; EG ban Haven; LOUD pick Lotus; EG pick Sunset; LOUD ban Ascent; EG ban Bind; Icebox remains,"['Lotus: 13-7', ' Sunset: 6-13', ' Icebox: 11-13']","['7', '0', '5']","['6', '6', '6']","[None, None, None]","['1', '7', '7']","['6', '6', '6']","[None, None, None]","[3159, 2431, 3313]"
Champions Tour 2024: Americas Stage 2,G2 Esports,Cloud9,2024-06-24 17:00:00,Bo3,G2 ban Sunset; C9 ban Bind; G2 pick Ascent; C9 pick Icebox; G2 ban Haven; C9 ban Split; Lotus remains,"['Ascent: 13-11', ' Icebox: 5-13', ' Lotus: 13-8']","['4', '3', '4']","['9', '2', '9']","[None, None, None]","['8', '3', '8']","['3', '10', '0']","[None, None, None]","[3905, 2443, 2898]"
Champions Tour 2024: Americas Stage 2,Evil Geniuses,FURIA,2024-06-29 17:00:00,Bo3,FUR ban Sunset; EG ban Haven; FUR pick Bind; EG pick Lotus; FUR ban Split; EG ban Ascent; Icebox remains,"['Bind: 13-5', ' Lotus: 13-4']","['9', '3']","['4', '10']","[None, None]","['3', '2']","['2', '2']","[None, None]","[3538, 2113]"
Champions Tour 2024: Americas Stage 2,Sentinels,KRÜ Esports,2024-06-29 19:00:00,Bo3,KRÜ ban Bind; SEN ban Icebox; KRÜ pick Lotus; SEN pick Split; KRÜ ban Haven; SEN ban Sunset; Ascent remains,"['Lotus: 13-11', ' Split: 13-10']","['8', '8']","['5', '5']","[None, None]","['4', '4']","['7', '6']","[None, None]","[4001, 3313]"
Champions Tour 2024: Americas Stage 2,LOUD,MIBR,2024-06-30 17:00:00,Bo3,MIBR ban Haven; LOUD ban Split; MIBR pick Ascent; LOUD pick Lotus; MIBR ban Bind; LOUD ban Icebox; Sunset remains,"['Ascent: 13-7', ' Lotus: 11-13', ' Sunset: 13-9']","['5', '6', '7']","['8', '5', '6']","[None, None, None]","['3', '6', '3']","['4', '7', '6']","[None, None, None]","[3561, 3148, 3138]"
Champions Tour 2024: Americas Stage 2,LEVIATÁN,100 Thieves,2024-06-30 20:20:00,Bo3,100T ban Sunset; LEV ban Split; 100T pick Bind; LEV pick Haven; 100T ban Lotus; LEV ban Ascent; Icebox remains,"['Bind: 13-10', ' Haven: 13-4']","['5', '3']","['8', '10']","[None, None]","['6', '2']","['4', '2']","[None, None]","[3578, 2179]"
Champions Tour 2024: Americas Stage 2,NRG Esports,G2 Esports,2024-07-01 17:00:00,Bo3,NRG ban Lotus; G2 ban Sunset; NRG pick Haven; G2 pick Bind; NRG ban Split; G2 ban Icebox; Ascent remains,"['Haven: 7-13', ' Bind: 8-13']","['3', '5']","['4', '3']","[None, None]","['5', '4']","['8', '9']","[None, None]","[3754, 3039]"
Champions Tour 2024: Americas Stage 2,Sentinels,Cloud9,2024-07-01 19:25:00,Bo3,C9 ban Bind; SEN ban Icebox; C9 pick Haven; SEN pick Split; C9 ban Sunset; SEN ban Ascent; Lotus remains,"['Haven: 13-5', ' Split: 13-8']","['7', '6']","['6', '7']","[None, None]","['5', '6']","['0', '2']","[None, None]","[2921, 2949]"
Champions Tour 2024: Americas Stage 2,Evil Geniuses,LEVIATÁN,2024-07-02 17:00:00,Bo3,LEV ban Split; EG ban Haven; LEV pick Icebox; EG pick Sunset; LEV ban Lotus; EG ban Ascent; Bind remains,"['Icebox: 5-13', ' Sunset: 10-13']","['5', '6']","['0', '4']","[None, None]","['7', '6']","['6', '7']","[None, None]","[3223, 3148]"
Champions Tour 2024: Americas Stage 2,LOUD,FURIA,2024-07-02 19:15:00,Bo3,LOUD ban Split; FUR ban Lotus; LOUD pick Haven; FUR pick Icebox; LOUD ban Ascent; FUR ban Sunset; Bind remains,"['Haven: 13-11', ' Icebox: 10-13', ' Bind: 9-13']","['8', '5', '4']","['5', '5', '5']","[None, None, None]","['4', '7', '6']","['7', '6', '7']","[None, None, None]","[3610, 3194, 2897]"
Champions Tour 2024: Americas Stage 2,MIBR,100 Thieves,2024-07-03 17:00:00,Bo3,100T ban Sunset; MIBR ban Bind; 100T pick Icebox; MIBR pick Split; 100T ban Haven; MIBR ban Ascent; Lotus remains,"['Icebox: 5-13', ' Split: 6-13']","['3', '2']","['2', '4']","[None, None]","['9', '10']","['4', '3']","[None, None]","[2929, 2539]"
Champions Tour 2024: Americas Stage 2,NRG Esports,KRÜ Esports,2024-07-03 19:05:00,Bo3,KRÜ ban Bind; NRG ban Lotus; KRÜ pick Split; NRG pick Ascent; KRÜ ban Haven; NRG ban Icebox; Sunset remains,"['Split: 8-13', ' Ascent: 13-8', ' Sunset: 13-7']","['3', '7', '9']","['5', '6', '4']","[None, None, None]","['6', '5', '3']","['7', '3', '4']","[None, None, None]","[3744, 2681, 2812]"
Champions Tour 2024: Americas Stage 2,G2 Esports,KRÜ Esports,2024-07-06 17:00:00,Bo3,KRÜ ban Bind; G2 ban Sunset; KRÜ pick Lotus; G2 pick Ascent; KRÜ ban Haven; G2 ban Icebox; Split remains,"['Lotus: 4-13', ' Ascent: 16-14', ' Split: 13-5']","['1', '7', '9']","['3', '5', '4']","[None, '4', None]","['4', '5', '3']","['9', '7', '2']","[None, '2', None]","[3292, 4315, 2704]"
Champions Tour 2024: Americas Stage 2,LOUD,LEVIATÁN,2024-07-06 20:35:00,Bo3,LOUD ban Split; LEV ban Ascent; LOUD pick Lotus; LEV pick Icebox; LOUD ban Bind; LEV ban Sunset; Haven remains,"['Lotus: 11-13', ' Icebox: 6-13']","['3', '4']","['8', '2']","[None, None]","['9', '8']","['4', '5']","[None, None]","[3592, 2657]"
Champions Tour 2024: Americas Stage 2,MIBR,FURIA,2024-07-07 17:00:00,Bo3,MIBR ban Haven; FUR ban Lotus; MIBR pick Sunset; FUR pick Icebox; MIBR ban Split; FUR ban Ascent; Bind remains,"['Sunset: 10-13', ' Icebox: 7-13']","['6', '3']","['4', '4']","[None, None]","['6', '9']","['7', '4']","[None, None]","[3750, 2582]"
Champions Tour 2024: Americas Stage 2,NRG Esports,Cloud9,2024-07-07 19:15:00,Bo3,NRG ban Lotus; C9 ban Bind; NRG pick Ascent; C9 pick Icebox; NRG ban Haven; C9 ban Split; Sunset remains,"['Ascent: 13-3', ' Icebox: 10-13', ' Sunset: 12-14']","['9', '7', '7']","['4', '3', '5']","[None, None, '0']","['3', '5', '5']","['0', '8', '7']","[None, None, '2']","[2627, 2960, 3558]"
Champions Tour 2024: Americas Stage 2,Evil Geniuses,100 Thieves,2024-07-08 17:00:00,Bo3,EG ban Haven; 100T ban Sunset; EG pick Lotus; 100T pick Bind; EG ban Icebox; 100T ban Split; Ascent remains,"['Lotus: 10-13', ' Bind: 13-10', ' Ascent: 7-13']","['6', '8', '4']","['4', '5', '3']","[None, None, None]","['5', '4', '4']","['8', '6', '9']","[None, None, None]","[4010, 3339, 2761]"
Champions Tour 2024: Americas Stage 2,Cloud9,KRÜ Esports,2024-07-12 20:00:00,Bo3,C9 ban Ascent; KRÜ ban Bind; C9 pick Icebox; KRÜ pick Split; C9 ban Lotus; KRÜ ban Haven; Sunset remains,"['Icebox: 7-13', ' Split: 10-13']","['2', '5']","['5', '5']","[None, None]","['6', '6']","['7', '7']","[None, None]","[3401, 3372]"
Champions Tour 2024: Americas Stage 2,Evil Geniuses,MIBR,2024-07-13 17:00:00,Bo3,EG ban Haven; MIBR ban Icebox; EG pick Bind; MIBR pick Lotus; EG ban Ascent; MIBR ban Split; Sunset remains,"['Bind: 9-13', ' Lotus: 2-13']","['4', '0']","['5', '2']","[None, None]","['6', '3']","['7', '10']","[None, None]","[3992, 2145]"
Champions Tour 2024: Americas Stage 2,LEVIATÁN,FURIA,2024-07-13 19:10:00,Bo3,LEV ban Split; FUR ban Lotus; LEV pick Sunset; FUR pick Icebox; LEV ban Ascent; FUR ban Haven; Bind remains,"['Sunset: 13-6', ' Icebox: 13-6']","['8', '6']","['5', '7']","[None, None]","['4', '1']","['2', '5']","[None, None]","[2999, 2779]"
Champions Tour 2024: Americas Stage 2,LOUD,100 Thieves,2024-07-14 17:00:00,Bo3,LOUD ban Split; 100T ban Sunset; LOUD pick Ascent; 100T pick Bind; LOUD ban Icebox; 100T ban Haven; Lotus remains,"['Ascent: 1-13', ' Bind: 13-8', ' Lotus: 13-10']","['1', '6', '6']","['0', '7', '7']","[None, None, None]","['11', '6', '5']","['2', '2', '5']","[None, None, None]","[2491, 2592, 3142]"
Champions Tour 2024: Americas Stage 2,Sentinels,G2 Esports,2024-07-14 20:00:00,Bo3,G2 ban Sunset; SEN ban Icebox; G2 pick Bind; SEN pick Lotus; G2 ban Split; SEN ban Haven; Ascent remains,"['Bind: 6-13', ' Lotus: 9-13']","['6', '4']","['0', '5']","[None, None]","['6', '8']","['7', '5']","[None, None]","[5494, 3459]"
Champions Tour 2024: Americas Stage 2,KRÜ Esports,Cloud9,2024-07-17 17:00:00,Bo3,C9 ban Ascent; KRÜ ban Bind; C9 pick Abyss; KRÜ pick Lotus; C9 ban Sunset; KRÜ ban Icebox; Haven remains,"['Abyss: 13-11', ' Lotus: 11-13', ' Haven: 13-6']","['6', '10', '4']","['7', '1', '9']","[None, None, None]","['6', '2', '3']","['5', '11', '3']","[None, None, None]","[4132, 3248, 2548]"
Champions Tour 2024: Americas Stage 2,Sentinels,100 Thieves,2024-07-17 20:30:00,Bo3,SEN ban Icebox; 100T ban Sunset; SEN pick Haven; 100T pick Ascent; SEN ban Bind; 100T ban Lotus; Abyss remains,"['Haven: 7-13', ' Ascent: 10-13']","['4', '6']","['3', '4']","[None, None]","['4', '5']","['9', '8']","[None, None]","[3186, 3487]"
Champions Tour 2024: Americas Stage 2,LEVIATÁN,KRÜ Esports,2024-07-18 17:00:00,Bo3,LEV ban Lotus; KRÜ ban Bind; LEV pick Icebox; KRÜ pick Sunset; LEV ban Abyss; KRÜ ban Ascent; Haven remains,"['Icebox: 13-2', ' Sunset: 13-4']","['3', '3']","['10', '10']","[None, None]","['0', '2']","['2', '2']","[None, None]","[2743, 2184]"
Champions Tour 2024: Americas Stage 2,G2 Esports,100 Thieves,2024-07-18 18:55:00,Bo3,G2 ban Ascent; 100T ban Bind; G2 pick Lotus; 100T pick Abyss; G2 ban Icebox; 100T ban Sunset; Haven remains,"['Lotus: 13-5', ' Abyss: 13-10']","['6', '6']","['7', '7']","[None, None]","['0', '5']","['5', '5']","[None, None]","[3274, 3379]"
Champions Tour 2024: Americas Stage 2,LEVIATÁN,G2 Esports,2024-07-19 17:00:00,Bo3,LEV ban Lotus; G2 ban Sunset; LEV pick Icebox; G2 pick Bind; LEV ban Abyss; G2 ban Ascent; Haven remains,"['Icebox: 8-13', ' Bind: 6-13']","['6', '2']","['2', '4']","[None, None]","['3', '5']","['10', '8']","[None, None]","[2846, 2564]"
Champions Tour 2024: Americas Stage 2,KRÜ Esports,100 Thieves,2024-07-19 19:10:00,Bo3,100T ban Sunset; KRÜ ban Bind; 100T pick Icebox; KRÜ pick Lotus; 100T ban Haven; KRÜ ban Abyss; Ascent remains,"['Icebox: 9-13', ' Lotus: 13-11', ' Ascent: 13-11']","['3', '7', '5']","['6', '6', '8']","[None, None, None]","['7', '5', '7']","['6', '6', '4']","[None, None, None]","[3729, 3596, 3765]"
Champions Tour 2024: Americas Stage 2,LEVIATÁN,KRÜ Esports,2024-07-20 17:00:00,Bo5,LEV ban Lotus; KRÜ ban Bind; LEV pick Icebox; KRÜ pick Haven; LEV pick Sunset; KRÜ pick Abyss; Ascent remains,"['Icebox: 13-3', ' Haven: 11-13', ' Sunset: 7-13', ' Abyss: 13-10', ' Ascent: 13-10']","['11', '4', '4', '5', '8']","['2', '7', '3', '8', '5']","[None, None, None, None, None]","['1', '8', '4', '6', '4']","['2', '5', '9', '4', '6']","[None, None, None, None, None]","[3011, 3043, 2770, 3347, 3466]"
Champions Tour 2024: Americas Stage 2,G2 Esports,LEVIATÁN,2024-07-21 17:00:00,Bo5,G2 ban Icebox; G2 ban Sunset; G2 pick Lotus; LEV pick Haven; G2 pick Bind; LEV pick Ascent; Abyss remains,"['Lotus: 13-15', ' Haven: 14-16', ' Bind: 13-9', ' Ascent: 4-13']","['6', '5', '4', '0']","['6', '7', '9', '4']","['1', '2', None, None]","['6', '7', '8', '5']","['6', '5', '1', '8']","['3', '4', None, None]","[4613, 4052, 3097, 2413]"
Champions Tour 2024: China Stage 2,Titan Esports Club,JDG Esports,2024-06-15 07:00:00,Bo3,JDG ban Breeze; TEC ban Bind; JDG pick Icebox; TEC pick Lotus; JDG ban Split; TEC ban Sunset; Ascent remains,"['Icebox: 12-14', ' Lotus: 11-13']","['4', '8']","['8', '3']","['0', None]","['8', '4']","['4', '9']","['2', None]","[None, None]"
